Section,Item under Test,Description
Header,NOTE: With the release of the REST API the 'Quick Links' button/feature should no longer be included in the header.,
Header > Learn More or Get Help Pop-Up,,
Footer,,
Left Hand Navigation Bar,,
Landing Page/Homepage,,
Metric Details Pages,,
Notifications,"Icon, Notifications Window",
Notifications > Manage Notifications and Emails Page,,
Your Work,Includes 'Change User' Button,
Your Work > Your Favorites,,
Your Work > Your Collections,,
Your Work > Your Work Bulk Edit,,
Search Portfolio,"Includes 'Show Cards' Button
Includes 'Hide Record Details' Button
Includes 'Hide Financials' Button
Ensure general search functionality works",
Search Portfolio > Search Portfolio > Map View,,
Search Portfolio > Search Portfolio > Filter Panel,"Includes 'Your Filters' button
Includes 'Save Filters' button
Includes Basic Search
Includes Advanced Search",
Create New Record Wizard,"Includes entire wizard (Conservation Record Type, Conservation Record Name, Additional Data)
Ensure all 4 record types can be created

Note for future: UI/UX is messy and confusing on this feature - Confusing how you are supposed to 'search' a Record Name when you are naming a new record. Also for the future, can we capitalize the 'n' in 'new'?",
Collections,"Includes Search and Filter functionality.
Includes Paging",
Collections > Create New Collection Pop-Up,,
Collections > Individual Collection,Includes deleting the collection,
Collections > Edit Collection Pop-Up,,
Dashboards,"Ensure all links to dashboards work - see screenshot for all dashboards (as of Nov/21/2023)
Includes Hub Dashboard Guidance button",
Administration,Includes Landing Page: System Permissions Tab,
Administration > Edit User Role Pop-Up,,
Administration > User Bulk Editing,,
Administration > NCS Calculator Default Pool Values,,
Project Record,"Includes Email Link Button
Includes Add/Remove Favorite Button
Includes Add to Collection Button
Includes Section Links Panel",
Project Record > Project Team Panel,,
Project Record > View Project Mode: Summary,,
Project Record > View Project Mode: Outcomes,"Includes Outcome Details Checkbox

NOTE: With release of REST API in 2024 the 'Show Chart' checkbox will not longer be available. It was removed as part of this work.",
Project Record > View Project Mode: Intermediate Results,"Includes IR 'Show Details' Checkbox

NOTE: With release of REST API in 2024 the 'Show Chart' checkbox will not longer be available. It was removed as part of this work.",
Project Record > View Project Mode: Outputs,"Includes Active and Archived Outputs
Includes 'Show Details' checkbox for both Active and Archived Outputs",
Project Record > View Project Mode: Financials,,
Project Record > View Project Mode: Financials > Financial Notes,,
Project Record > View Project Mode: Financials > Workday Financials by Fiscal Year (FY),,
Project Record > View Project Mode: Financials > Linked Workday Finance Projects,,
Project Record > View Project Mode: Financials > Estimated TNC and Non-TNC Costs by FY,,
Project Record > View Project Mode: Partnerships,,
Project Record > View Project Mode: Location,,
Project Record > View Project Mode: Associated Files,,
Project Record > View Project Mode: Audit Log,,
Project Record > Edit Project Mode: Summary,"Includes Deleting the record
Includes Editing Record Status",
Project Record > Edit Project Mode: Team,Includes adding/editing/deleting a Team Member,
Project Record > Edit Project Mode: Partners,Includes adding/editing/deleting a Partner,
Project Record > Edit Project Mode: Location,,
Project Record > Edit Project Mode: Relations,,
Project Record > Edit Project Mode: Financials,,
Project Record > Edit Project Mode: Financials > Workday Projects,,
Project Record > Edit Project Mode: Financials > Workday Projects > LINK WORKDAY PROJECT(S) Pop-up,,
Project Record > Edit Project Mode: Financials > Estimated Financials,,
Project Record > Edit Project Mode: Financials > Notes,,
Project Record > Edit Project Mode: Additional Information,"NOTE: After REST API update the only tab left in this section will be Donor Keywords. 
Levers: REMOVED AS OF 2024
Science-based Instruments: REMOVED AS OF 2024
Equity Indicators: REMOVED AS OF 2024",
Project Record > Edit Project Mode: Associated Files,"Includes adding, editing, and deleting a file link",
Edit Project Mode: Outcomes,Includes deleting an outcome,
