Section,Item under Test,Description
Header,Header,NOTE: With the release of the REST API the 'Quick Links' button/feature should no longer be included in the header.
Footer,Footer,
Left Hand Navigation Bar,Left Hand Navigation Bar,
Landing Page/Homepage,Metric Details Pages (MDP),Includes MDP Related Strategies
Landing Page/Homepage,Learn More about 2030 Goals,
Landing Page/Homepage,Additional Homepage Links,
Notifications,Manage Notifications and Emails Page,"Icon, Notifications Window"
Your Work,Your Favorites,Includes 'Change User' Button
Your Work,Your Collections,
Your Work,Your Work Bulk Edit,
Search Portfolio,Search Portfolio > Map View,Includes 'Show Cards' Button|Includes 'Hide Record Details' Button|Includes 'Hide Financials' Button|Ensure general search functionality works
Search Portfolio,Search Portfolio > Filter Panel,Includes 'Your Filters' button|Includes 'Save Filters' button|Includes Basic Search|Includes Advanced Search
Create New Record Wizard,Create New Record Wizard,"Includes entire wizard (Conservation Record Type, Conservation Record Name, Additional Data)|Ensure all 4 record types can be created||Note for future: UI/UX is messy and confusing on this feature - Confusing how you are supposed to 'search' a Record Name when you are naming a new record. Also for the future, can we capitalize the 'n' in 'new'?"
Collections,Create New Collection Pop-Up,Includes Search and Filter functionality|Includes Paging
Collections,Individual Collection,Includes deleting the collection
Collections,Edit Collection Pop-Up,
Dashboards,Dashboards,Ensure all links to dashboards work - see screenshot for all dashboards (as of Nov/21/2023)|Includes Hub Dashboard Guidance button
Administration,Edit User Role Pop-Up,Includes Landing Page: System Permissions Tab
Administration,Add Non-TNC User Pop-Up,
Administration,User Bulk Editing,
Administration,NCS Calculator Default Pool Values,
Project Record,Project Team Panel,Includes Email Link Button|Includes Add/Remove Favorite Button|Includes Add to Collection Button|Includes Section Links Panel
Project Record,View Project Mode: Summary,
Project Record,View Project Mode: Outcomes,Includes Outcome Details Checkbox
Project Record,View Project Mode: Intermediate Results,Includes IR 'Show Details' Checkbox
Project Record,View Project Mode: Outputs,Includes Active and Archived Outputs|Includes 'Show Details' checkbox for both Active and Archived Outputs
Project Record,View Project Mode: Financials,
Project Record,View Project Mode: Partnerships,
Project Record,View Project Mode: Location,
Project Record,View Project Mode: Associated Files,
Project Record,View Project Mode: Audit Log,
Project Record,Edit Project Mode: Summary,Includes Deleting the record|Includes Editing Record Status
Project Record,Edit Project Mode: Team,Includes adding/editing/deleting a Team Member
Project Record,Edit Project Mode: Partners,Includes adding/editing/deleting a Partner
Project Record,Edit Project Mode: Location,
Project Record,Edit Project Mode: Relations,
Project Record,Edit Project Mode: Financials,"Includes Financials Tab|Includes Notes Tab|Includes Insight Records Tab"
